,0
i=6|f=9,0.34358288770053474
i=6|f=7,0.44841269841269843
i=9|f=9,0.6564171122994652
i=9|f=7,0.5515873015873016
h=7|b=2,0.16666666666666666
h=7|b=3,0.5617529880478087
h=8|b=2,0.5783132530120482
h=1|b=3,0.3147410358565737
h=1|b=2,0.25502008032128515
h=8|b=3,0.12350597609561753
b=2|c=6,0.7191011235955056
b=3|c=3,0.7553648068669528
b=2|c=3,0.2446351931330472
b=3|c=6,0.2808988764044944
"f=9|c,b=6,2",0.9192708333333334
"f=7|c,b=3,3",0.3977272727272727
"f=9|c,b=3,3",0.6022727272727273
"f=9|c,b=3,2",0.9035087719298246
"f=7|c,b=6,3",0.4666666666666667
"f=9|c,b=6,3",0.5333333333333333
"f=7|c,b=3,2",0.09649122807017543
"f=7|c,b=6,2",0.08072916666666667
