,0
j=5|e=6,0.4691848906560636
j=9|e=5,0.352112676056338
j=5|e=5,0.5171026156941649
j=1|e=5,0.13078470824949698
j=1|e=6,0.15308151093439365
j=9|e=6,0.37773359840954274
h=6|b=2,0.5517241379310345
h=9|b=2,0.29310344827586204
h=6|b=6,0.17105263157894737
h=8|b=6,0.24013157894736842
h=8|b=2,0.15517241379310345
h=9|b=6,0.5888157894736842
f=4|e=6,0.4552683896620278
f=4|e=5,0.6338028169014085
f=7|e=6,0.5447316103379721
f=7|e=5,0.36619718309859156
c=7|e=6,0.7654075546719682
c=9|e=5,0.42857142857142855
c=7|e=5,0.2655935613682093
c=3|e=5,0.3058350100603622
c=3|e=6,0.21669980119284293
c=9|e=6,0.017892644135188866
i=4|b=2,0.9195402298850575
i=9|b=6,0.5
i=4|b=6,0.5
i=9|b=2,0.08045977011494253
a=5|c=7,0.3733075435203095
a=8|c=9,0.22972972972972974
a=8|c=7,0.38878143133462284
a=9|c=9,0.3783783783783784
a=8|c=3,0.4367816091954023
a=9|c=7,0.2379110251450677
a=9|c=3,0.3831417624521073
a=5|c=9,0.3918918918918919
a=5|c=3,0.18007662835249041
